id,nome,preco,precoparcelado,descontoPorcentagem,link,vendedor,freteGratis,oferta,OpenBox
212530,"Placa de Vídeo RTX 3060 Ti O8G Mini V2 OC Asus Dual NVIDIA GeForce, 8GB GDDR6, RGB, LHR, DLSS, Ray Tracing - DUAL-RTX3060TI-O8G-MINI-V2","3499,99","3888,88",10,https://kabum.com.br/produto/212530/placa-de-video-rtx-3060-ti-o8g-mini-v2-oc-asus-dual-nvidia-geforce-8gb-gddr6-rgb-lhr-dlss-ray-tracing-dual-rtx3060ti-o8g-mini-v2,KaBuM!,FALSE,"{'idOferta': 722315, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 3289.99, 'precoParcelado': 3655.54, 'descontoPorcentagem': 6, 'disponivel': 137}",FALSE
401272,"Placa de Vídeo RTX 3060 Ti 1-Click OC Plus Galax NVIDIA GeForce, 8 GB GDDR6X, DLSS, Ray Tracing - 36ISM6MD2KCV","3167,99","3519,99",10,https://kabum.com.br/produto/401272/placa-de-video-rtx-3060-ti-1-click-oc-plus-galax-nvidia-geforce-8-gb-gddr6x-dlss-ray-tracing-36ism6md2kcv,KaBuM!,FALSE,"{'idOferta': 723123, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-02 08:00:00', 'exclusivoPrime': None, 'preco': 2826.99, 'precoParcelado': 3141.1, 'descontoPorcentagem': 10, 'disponivel': 30}",FALSE
207661,"Placa de Vídeo RTX 3060 Ti Ventus 3X OC MSI NVIDIA GeForce, 8GB, LHR, DLSS, Ray Tracing","3399,99","3999,99",15,https://kabum.com.br/produto/207661/placa-de-video-rtx-3060-ti-ventus-3x-oc-msi-nvidia-geforce-8gb-lhr-dlss-ray-tracing,KaBuM!,FALSE,"{'idOferta': 721440, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 2974.99, 'precoParcelado': 3499.99, 'descontoPorcentagem': 12, 'disponivel': 94}",FALSE
166989,"Placa de Vídeo Galax, NVIDIA GeForce GTX 1650 EX, 4GB GDDR6, 1 Click OC, 192 Bits, DVI, HDMI, E Displayport - 65SQL8DS66E6","1164,42","1369,9",15,https://kabum.com.br/produto/166989/placa-de-video-galax-nvidia-geforce-gtx-1650-ex-4gb-gddr6-1-click-oc-192-bits-dvi-hdmi-e-displayport-65sql8ds66e6,Alligator Shop,FALSE,"{'idOferta': 720722, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-15 14:31:00', 'termino': '2023-06-02 07:00:00', 'exclusivoPrime': None, 'preco': 1099.9, 'precoParcelado': 1294, 'descontoPorcentagem': 5, 'disponivel': 7}",FALSE
388005,"Placa de Vídeo RTX 4090 Suprim Liquid X MSI NVIDIA Geforce, 24 GB GDDR6X, DLSS, Ray Tracing - Geforce RTX 4090 SUPRIM LIQUID X 24G","13399,99","14888,88",10,https://kabum.com.br/produto/388005/placa-de-video-rtx-4090-suprim-liquid-x-msi-nvidia-geforce-24-gb-gddr6x-dlss-ray-tracing-geforce-rtx-4090-suprim-liquid-x-24g,KaBuM!,FALSE,"{'idOferta': 722859, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-01 20:00:00', 'termino': '2023-06-01 08:30:00', 'exclusivoPrime': None, 'preco': 12399.99, 'precoParcelado': 13777.77, 'descontoPorcentagem': 7, 'disponivel': 12}",FALSE
298405,"Placa de Vídeo RTX 3050 OC Asus NVIDIA GeForce, 8GB, GDDR6, Ray Tracing - DUAL-RTX3050-O8G","2343,99","2604,43",10,https://kabum.com.br/produto/298405/placa-de-video-rtx-3050-oc-asus-nvidia-geforce-8gb-gddr6-ray-tracing-dual-rtx3050-o8g,KaBuM!,FALSE,"{'idOferta': 722862, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-01 20:00:00', 'termino': '2023-06-01 08:30:00', 'exclusivoPrime': None, 'preco': 1999.99, 'precoParcelado': 2222.21, 'descontoPorcentagem': 14, 'disponivel': 116}",FALSE
447453,"Placa de Vídeo RTX 4070 VENTUS 2X MSI NVIDIA GeForce, 12 GB OC GDDR6X, DLSS 3, Ray Tracing","5524,99","6499,99",15,https://kabum.com.br/produto/447453/placa-de-video-rtx-4070-ventus-2x-msi-nvidia-geforce-12-gb-oc-gddr6x-dlss-3-ray-tracing,KaBuM!,FALSE,"{'idOferta': 722904, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 4839.99, 'precoParcelado': 5694.11, 'descontoPorcentagem': 12, 'disponivel': 34}",FALSE
161433,"Placa de Vídeo T600 PNY NVIDIA 4GB, GDDR6 - VCNT600-PB","1632,99","1814,43",10,https://kabum.com.br/produto/161433/placa-de-video-t600-pny-nvidia-4gb-gddr6-vcnt600-pb,KaBuM!,FALSE,"{'idOferta': 720256, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-18 12:52:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 1509.99, 'precoParcelado': 1677.77, 'descontoPorcentagem': 7, 'disponivel': 13}",FALSE
91431,Placa de Vídeo VGA Galax NVIDIA GeForce GT 1030 2GB GDDR5 64Bits - 30NPH4HVQ4ST,"599,99","666,66",10,https://kabum.com.br/produto/91431/placa-de-video-vga-galax-nvidia-geforce-gt-1030-2gb-gddr5-64bits-30nph4hvq4st,KaBuM!,FALSE,"{'idOferta': 722902, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 554.99, 'precoParcelado': 616.66, 'descontoPorcentagem': 7, 'disponivel': 40}",FALSE
174762,"Placa de Vídeo Galax NVIDIA GeForce RTX 3060, 12GB GDDR6, LHR, 1-Click OC, 15GBps, Ray Tracing, DLSS - 36NOL7MD1VOC","2656,25",3125,15,https://kabum.com.br/produto/174762/placa-de-video-galax-nvidia-geforce-rtx-3060-12gb-gddr6-lhr-1-click-oc-15gbps-ray-tracing-dlss-36nol7md1voc,Só Memórias,TRUE,"{'idOferta': 722680, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-24 18:30:00', 'termino': '2023-06-02 08:00:00', 'exclusivoPrime': None, 'preco': 2125, 'precoParcelado': 2500, 'descontoPorcentagem': 19, 'disponivel': 10}",FALSE
